User ID,Age,Gender,Height,Interests,Looking For,Children,Education Level,Occupation,Swiping History,Frequency of Usage
1,30,Male,5.240384818,"['Sports', 'Cooking', 'Hiking', 'Music', 'Movies', 'Reading', 'Travel']",Casual Dating,No,High School,Student,96,Weekly
2,27,Female,4.93762519,"['Sports', 'Reading']",Friendship,Yes,Master's Degree,Artist,96,Monthly
3,29,Female,5.806295845,['Sports'],Casual Dating,No,Bachelor's Degree,Social Media Influencer,64,Daily
4,29,Female,5.101402346,['Reading'],Marriage,No,Ph.D.,Doctor,67,Daily
5,32,Male,5.986670328,"['Sports', 'Hiking', 'Music', 'Movies', 'Reading']",Long-term Relationship,Yes,Ph.D.,Engineer,93,Monthly
6,25,Female,5.192045044,"['Sports', 'Cooking', 'Movies', 'Music', 'Travel', 'Reading', 'Hiking']",Marriage,Yes,Master's Degree,Engineer,38,Monthly
7,27,Female,5.725125741,"['Travel', 'Cooking']",Marriage,No,Master's Degree,Student,77,Monthly
8,21,Male,5.108276074,"['Cooking', 'Hiking', 'Movies', 'Reading', 'Music', 'Travel']",Marriage,Yes,Bachelor's Degree,Teacher,87,Daily
9,33,Female,5.364951099,"['Music', 'Reading', 'Sports', 'Cooking', 'Movies']",Friendship,Maybe,High School,Social Media Influencer,6,Monthly
10,26,Female,6.020815285,"['Sports', 'Reading', 'Music', 'Cooking', 'Movies', 'Hiking']",Long-term Relationship,No,Ph.D.,Teacher,8,Weekly
11,27,Female,4.9327425,"['Cooking', 'Reading', 'Music']",Friendship,Maybe,Master's Degree,Teacher,19,Weekly
12,20,Female,5.752873347,"['Cooking', 'Sports']",Friendship,Yes,Ph.D.,Business Owner,19,Monthly
13,33,Female,5.56313585,"['Music', 'Cooking', 'Sports']",Casual Dating,Yes,Bachelor's Degree,Teacher,12,Weekly
14,25,Female,5.402888703,"['Travel', 'Movies']",Friendship,Yes,High School,Entrepreneur,80,Monthly
15,20,Male,5.51137095,['Hiking'],Friendship,No,Bachelor's Degree,Student,81,Monthly
16,30,Female,5.866473532,['Cooking'],Marriage,Maybe,Bachelor's Degree,Artist,97,Monthly
17,27,Male,6.011520446,"['Cooking', 'Music', 'Hiking']",Friendship,Yes,Bachelor's Degree,Engineer,12,Weekly
18,29,Male,5.627683848,"['Movies', 'Sports', 'Travel', 'Music', 'Cooking']",Marriage,No,Master's Degree,Doctor,4,Daily
19,31,Male,5.171047595,"['Sports', 'Movies']",Long-term Relationship,Yes,Master's Degree,Business Owner,32,Daily
20,24,Female,5.206369247,"['Sports', 'Cooking', 'Hiking']",Friendship,Yes,Ph.D.,Entrepreneur,13,Daily
21,31,Male,5.329140529,['Cooking'],Friendship,Maybe,Bachelor's Degree,Engineer,5,Weekly
22,27,Female,5.430026156,"['Travel', 'Reading', 'Hiking', 'Cooking', 'Sports']",Casual Dating,Maybe,Master's Degree,Doctor,61,Weekly
23,22,Male,5.390113466,"['Travel', 'Hiking', 'Reading']",Friendship,No,Bachelor's Degree,Artist,55,Daily
24,31,Female,5.30866811,"['Music', 'Travel']",Casual Dating,Yes,Bachelor's Degree,Social Media Influencer,98,Daily
25,24,Female,6.02821958,"['Music', 'Travel', 'Cooking', 'Hiking', 'Movies', 'Reading', 'Sports']",Casual Dating,No,Master's Degree,Entrepreneur,72,Monthly
26,29,Female,5.647510205,"['Sports', 'Reading', 'Hiking']",Friendship,Maybe,High School,Business Owner,98,Monthly
27,32,Male,5.364351809,"['Reading', 'Cooking']",Casual Dating,Maybe,Master's Degree,Engineer,37,Monthly
28,20,Female,5.754320099,"['Reading', 'Sports', 'Hiking', 'Travel', 'Movies', 'Music', 'Cooking']",Marriage,Maybe,High School,Doctor,52,Daily
29,19,Female,5.732664878,"['Cooking', 'Sports', 'Reading']",Long-term Relationship,Yes,Ph.D.,Artist,14,Weekly
30,32,Male,6.088162166,"['Music', 'Movies', 'Travel']",Casual Dating,Yes,Bachelor's Degree,Entrepreneur,23,Monthly
31,18,Female,5.335882855,"['Sports', 'Movies', 'Travel', 'Cooking', 'Reading']",Long-term Relationship,Maybe,Ph.D.,Artist,29,Weekly
32,30,Male,4.906158034,"['Cooking', 'Travel', 'Reading']",Casual Dating,Yes,Ph.D.,Student,28,Weekly
33,20,Female,5.720755639,"['Sports', 'Movies', 'Cooking', 'Travel', 'Hiking', 'Music', 'Reading']",Friendship,No,Master's Degree,Teacher,74,Monthly
34,21,Male,5.09809242,"['Music', 'Cooking']",Casual Dating,Yes,Ph.D.,Entrepreneur,81,Weekly
35,25,Male,5.671438559,"['Reading', 'Sports']",Long-term Relationship,No,Ph.D.,Student,31,Weekly
36,19,Male,5.40866063,"['Movies', 'Cooking', 'Hiking', 'Reading', 'Sports', 'Travel', 'Music']",Friendship,No,Ph.D.,Business Owner,83,Daily
37,24,Male,4.915416268,"['Sports', 'Music', 'Reading', 'Hiking', 'Travel', 'Cooking', 'Movies']",Casual Dating,Yes,Master's Degree,Teacher,8,Monthly
38,26,Female,5.965380153,"['Sports', 'Movies', 'Music']",Long-term Relationship,No,Bachelor's Degree,Entrepreneur,85,Weekly
39,24,Female,5.678084813,"['Sports', 'Music', 'Reading', 'Hiking']",Casual Dating,Yes,Ph.D.,Entrepreneur,52,Weekly
40,19,Male,5.920743402,"['Movies', 'Music']",Friendship,Maybe,High School,Social Media Influencer,12,Daily
41,24,Female,5.238880598,"['Hiking', 'Music', 'Reading', 'Movies', 'Travel']",Casual Dating,Yes,Bachelor's Degree,Social Media Influencer,88,Monthly
42,35,Male,5.900425428,"['Music', 'Movies', 'Reading']",Marriage,Yes,Bachelor's Degree,Artist,62,Monthly
43,31,Female,5.227422033,"['Sports', 'Reading', 'Movies', 'Hiking', 'Travel', 'Music', 'Cooking']",Friendship,Yes,High School,Artist,13,Weekly
44,34,Male,5.959061346,"['Hiking', 'Movies', 'Cooking', 'Reading', 'Sports', 'Travel']",Marriage,No,Master's Degree,Doctor,2,Daily
45,23,Male,6.000881661,"['Sports', 'Movies', 'Hiking', 'Travel', 'Reading', 'Music', 'Cooking']",Friendship,Yes,High School,Engineer,43,Weekly
46,20,Female,5.652509216,"['Music', 'Movies', 'Travel']",Long-term Relationship,No,Bachelor's Degree,Teacher,9,Daily
47,33,Female,5.338095725,"['Sports', 'Hiking', 'Music']",Marriage,Maybe,High School,Student,92,Daily
48,30,Male,5.280272161,"['Movies', 'Hiking', 'Music', 'Sports', 'Reading', 'Cooking']",Casual Dating,No,High School,Artist,49,Weekly
49,30,Male,5.397185415,"['Sports', 'Music', 'Movies', 'Cooking']",Casual Dating,No,High School,Student,82,Daily
50,26,Female,5.955798432,"['Music', 'Cooking', 'Reading', 'Travel', 'Hiking', 'Sports', 'Movies']",Long-term Relationship,Yes,Bachelor's Degree,Doctor,83,Weekly
51,33,Male,5.370472005,"['Reading', 'Hiking', 'Music', 'Cooking']",Long-term Relationship,Yes,Bachelor's Degree,Entrepreneur,79,Monthly
52,35,Male,5.59623282,"['Travel', 'Movies']",Long-term Relationship,No,High School,Doctor,26,Monthly
53,18,Male,6.08974376,"['Reading', 'Music']",Friendship,Maybe,Ph.D.,Teacher,66,Monthly
54,27,Male,5.639233161,"['Hiking', 'Travel']",Long-term Relationship,No,Master's Degree,Engineer,25,Monthly
55,28,Female,4.93352122,"['Music', 'Travel', 'Sports', 'Movies', 'Cooking', 'Reading']",Marriage,Yes,High School,Artist,96,Daily
56,18,Female,5.211941482,['Travel'],Casual Dating,Maybe,Master's Degree,Doctor,88,Daily
57,28,Female,5.332273465,"['Cooking', 'Movies']",Friendship,No,High School,Entrepreneur,26,Daily
58,33,Female,5.724147914,"['Travel', 'Music', 'Sports', 'Reading', 'Movies', 'Hiking']",Friendship,Yes,Ph.D.,Doctor,24,Daily
59,34,Female,5.288793847,"['Movies', 'Sports']",Casual Dating,Yes,Ph.D.,Artist,11,Monthly
60,35,Male,6.010121017,"['Reading', 'Travel', 'Hiking', 'Cooking', 'Sports']",Long-term Relationship,Maybe,High School,Entrepreneur,80,Monthly
61,34,Male,5.487375508,"['Cooking', 'Sports', 'Travel', 'Hiking', 'Music']",Friendship,Maybe,Master's Degree,Business Owner,13,Weekly
62,30,Female,5.143568342,"['Cooking', 'Travel', 'Movies', 'Sports', 'Reading', 'Music', 'Hiking']",Friendship,Maybe,High School,Doctor,83,Daily
63,21,Male,4.828775495,['Movies'],Long-term Relationship,No,Ph.D.,Engineer,18,Weekly
64,25,Female,5.481743173,"['Travel', 'Sports', 'Cooking', 'Hiking', 'Music']",Casual Dating,No,Ph.D.,Business Owner,59,Monthly
65,29,Female,5.498101994,"['Travel', 'Movies', 'Reading', 'Sports', 'Music', 'Cooking', 'Hiking']",Marriage,Maybe,Ph.D.,Entrepreneur,100,Monthly
66,32,Female,6.091946192,"['Reading', 'Music', 'Cooking', 'Hiking', 'Sports', 'Movies', 'Travel']",Long-term Relationship,Maybe,Bachelor's Degree,Doctor,21,Daily
67,33,Male,5.787207188,"['Movies', 'Cooking', 'Travel', 'Music', 'Reading', 'Hiking']",Marriage,Yes,Bachelor's Degree,Engineer,64,Daily
68,34,Female,5.875026151,"['Music', 'Cooking', 'Travel', 'Reading', 'Sports', 'Hiking', 'Movies']",Long-term Relationship,No,Master's Degree,Doctor,40,Weekly
69,31,Female,5.675738905,"['Movies', 'Travel', 'Music', 'Hiking', 'Cooking', 'Sports']",Friendship,Maybe,Bachelor's Degree,Student,40,Monthly
70,22,Female,4.986148546,"['Cooking', 'Sports', 'Reading', 'Hiking', 'Movies', 'Music']",Long-term Relationship,No,High School,Entrepreneur,83,Daily
71,30,Male,6.010019899,"['Reading', 'Travel', 'Music', 'Sports', 'Movies', 'Hiking']",Casual Dating,Yes,Ph.D.,Entrepreneur,90,Weekly
72,27,Male,5.045984409,"['Hiking', 'Cooking', 'Movies', 'Travel', 'Reading', 'Sports']",Friendship,Maybe,Master's Degree,Business Owner,77,Weekly
73,25,Female,5.945594046,"['Hiking', 'Music', 'Sports']",Long-term Relationship,Maybe,Bachelor's Degree,Business Owner,43,Weekly
74,31,Male,4.915831462,"['Travel', 'Sports', 'Reading', 'Cooking', 'Hiking']",Friendship,No,Master's Degree,Engineer,70,Daily
75,28,Male,6.017204887,"['Reading', 'Cooking', 'Sports', 'Hiking', 'Travel']",Long-term Relationship,No,Bachelor's Degree,Entrepreneur,95,Daily
76,32,Female,4.821520923,"['Music', 'Movies', 'Hiking', 'Travel']",Friendship,Maybe,Master's Degree,Business Owner,84,Weekly
77,35,Male,5.647848105,"['Hiking', 'Cooking', 'Sports', 'Reading']",Long-term Relationship,Yes,High School,Doctor,8,Weekly
78,25,Female,5.284758438,"['Travel', 'Movies', 'Reading']",Casual Dating,Maybe,Ph.D.,Doctor,98,Daily
79,23,Male,5.315058504,"['Sports', 'Cooking', 'Reading', 'Movies']",Marriage,Maybe,Master's Degree,Student,80,Daily
80,31,Male,5.576484224,"['Travel', 'Sports', 'Hiking', 'Music', 'Reading']",Marriage,Maybe,Bachelor's Degree,Entrepreneur,69,Monthly
81,20,Female,5.278267425,"['Hiking', 'Cooking', 'Music', 'Sports']",Friendship,Yes,Ph.D.,Teacher,18,Weekly
82,34,Male,5.182119519,['Reading'],Long-term Relationship,Yes,Master's Degree,Entrepreneur,67,Monthly
83,23,Male,5.765614765,"['Movies', 'Sports', 'Reading', 'Travel', 'Cooking']",Marriage,No,Ph.D.,Entrepreneur,45,Weekly
84,18,Female,5.086925939,"['Music', 'Hiking', 'Travel', 'Movies', 'Sports', 'Reading', 'Cooking']",Marriage,No,Bachelor's Degree,Engineer,68,Daily
85,25,Female,5.274114756,"['Music', 'Travel']",Marriage,Yes,Bachelor's Degree,Student,21,Monthly
86,25,Male,5.873622343,"['Movies', 'Sports', 'Reading', 'Travel', 'Cooking']",Long-term Relationship,No,Bachelor's Degree,Business Owner,91,Monthly
87,25,Male,5.3063258,"['Hiking', 'Sports']",Casual Dating,Maybe,Ph.D.,Teacher,23,Weekly
88,24,Male,5.440640588,"['Music', 'Hiking', 'Travel']",Friendship,Yes,Master's Degree,Artist,47,Daily
89,23,Male,5.118800048,"['Music', 'Reading', 'Sports', 'Cooking', 'Travel', 'Movies']",Marriage,Yes,High School,Engineer,19,Weekly
90,25,Female,5.404581791,"['Sports', 'Cooking', 'Music', 'Hiking', 'Movies']",Marriage,No,Ph.D.,Student,0,Weekly
91,24,Female,5.966181867,"['Cooking', 'Travel', 'Sports']",Friendship,Yes,High School,Student,98,Weekly
92,22,Male,5.11022591,"['Music', 'Hiking', 'Cooking', 'Travel', 'Movies', 'Reading', 'Sports']",Marriage,Maybe,Ph.D.,Student,20,Weekly
93,34,Female,5.132395954,['Cooking'],Long-term Relationship,No,Bachelor's Degree,Engineer,62,Daily
94,24,Female,4.849596586,"['Travel', 'Sports']",Friendship,Maybe,Ph.D.,Student,81,Weekly
95,31,Male,5.588251149,"['Hiking', 'Sports', 'Music']",Long-term Relationship,Maybe,Bachelor's Degree,Student,91,Daily
96,32,Male,5.989481147,"['Travel', 'Hiking', 'Reading']",Long-term Relationship,Yes,High School,Social Media Influencer,97,Weekly
97,29,Male,5.079546903,['Music'],Friendship,No,Master's Degree,Artist,48,Daily
98,21,Male,5.875900642,"['Travel', 'Hiking']",Marriage,Maybe,Ph.D.,Engineer,21,Daily
99,33,Female,5.85446642,"['Reading', 'Cooking', 'Sports', 'Hiking', 'Movies', 'Music', 'Travel']",Casual Dating,No,Bachelor's Degree,Entrepreneur,97,Monthly
100,21,Female,5.671092132,"['Reading', 'Hiking', 'Sports']",Marriage,Yes,Ph.D.,Teacher,52,Weekly
101,35,Male,5.059604715,"['Sports', 'Travel', 'Music', 'Reading', 'Movies', 'Hiking', 'Cooking']",Long-term Relationship,No,Master's Degree,Social Media Influencer,20,Monthly
102,32,Male,4.893286395,"['Cooking', 'Hiking', 'Sports', 'Travel', 'Movies']",Friendship,Maybe,Master's Degree,Entrepreneur,17,Daily
103,21,Female,5.576603689,"['Reading', 'Cooking', 'Movies', 'Music', 'Sports', 'Travel']",Casual Dating,No,High School,Artist,84,Monthly
104,31,Male,5.992274035,"['Reading', 'Music', 'Movies', 'Hiking', 'Sports', 'Cooking', 'Travel']",Casual Dating,Yes,High School,Teacher,82,Daily
105,27,Male,4.921042267,"['Movies', 'Hiking', 'Reading', 'Cooking', 'Travel']",Casual Dating,No,Master's Degree,Business Owner,64,Daily
106,22,Female,5.456322762,"['Cooking', 'Travel']",Marriage,No,Ph.D.,Social Media Influencer,100,Monthly
107,29,Male,5.818562323,"['Travel', 'Hiking', 'Movies', 'Sports', 'Reading', 'Cooking']",Friendship,Maybe,High School,Entrepreneur,82,Monthly
108,24,Male,5.393125515,"['Hiking', 'Music', 'Cooking', 'Travel']",Friendship,Maybe,High School,Artist,87,Monthly
109,19,Male,4.832884727,"['Reading', 'Movies', 'Travel']",Marriage,No,High School,Engineer,85,Daily
110,22,Female,5.194927941,"['Hiking', 'Music', 'Travel', 'Movies', 'Cooking']",Casual Dating,Yes,Master's Degree,Engineer,42,Weekly
111,22,Female,5.489702856,"['Travel', 'Cooking', 'Sports', 'Music', 'Reading']",Marriage,No,High School,Student,91,Daily
112,19,Female,5.351056306,"['Reading', 'Music']",Marriage,Maybe,Bachelor's Degree,Social Media Influencer,23,Monthly
113,25,Male,5.908935828,"['Cooking', 'Movies', 'Music', 'Reading', 'Travel', 'Sports']",Long-term Relationship,No,Ph.D.,Social Media Influencer,86,Daily
114,30,Female,5.785305233,"['Cooking', 'Reading', 'Movies', 'Sports', 'Music']",Casual Dating,No,Ph.D.,Doctor,36,Weekly
115,25,Male,5.724978687,"['Movies', 'Reading']",Long-term Relationship,Maybe,Ph.D.,Student,99,Weekly
116,28,Female,4.948478625,"['Sports', 'Cooking', 'Hiking', 'Travel', 'Reading', 'Music']",Long-term Relationship,Yes,Bachelor's Degree,Doctor,90,Daily
117,23,Female,5.760777553,"['Hiking', 'Cooking', 'Movies', 'Travel', 'Reading', 'Music']",Casual Dating,No,Master's Degree,Social Media Influencer,71,Monthly
118,22,Female,5.439634254,"['Reading', 'Movies', 'Travel']",Marriage,Maybe,Master's Degree,Entrepreneur,75,Weekly
119,32,Male,5.711927418,"['Cooking', 'Movies', 'Reading', 'Music']",Long-term Relationship,Yes,Master's Degree,Social Media Influencer,13,Weekly
120,24,Male,5.379096948,"['Travel', 'Music', 'Reading', 'Hiking', 'Sports', 'Cooking']",Long-term Relationship,Yes,High School,Doctor,63,Daily
121,22,Female,5.274778137,"['Hiking', 'Travel', 'Music', 'Cooking', 'Movies']",Casual Dating,No,Bachelor's Degree,Entrepreneur,39,Daily
122,26,Male,5.690220677,"['Hiking', 'Movies', 'Travel']",Marriage,No,Ph.D.,Engineer,50,Monthly
123,29,Male,4.961811123,"['Movies', 'Hiking']",Long-term Relationship,No,Bachelor's Degree,Social Media Influencer,77,Daily
124,24,Male,5.581404552,"['Travel', 'Cooking', 'Music', 'Hiking']",Long-term Relationship,Maybe,Ph.D.,Student,25,Daily
125,26,Female,6.029058682,"['Music', 'Movies', 'Sports', 'Cooking', 'Reading']",Marriage,No,Master's Degree,Social Media Influencer,4,Daily
126,22,Female,5.835524648,"['Sports', 'Reading', 'Music']",Marriage,Maybe,High School,Teacher,29,Monthly
127,30,Female,5.981008213,"['Travel', 'Sports']",Marriage,Maybe,Bachelor's Degree,Business Owner,26,Weekly
128,26,Female,4.918994438,"['Music', 'Sports', 'Reading']",Marriage,No,Ph.D.,Student,75,Monthly
129,32,Male,5.203101161,"['Reading', 'Sports', 'Hiking', 'Cooking', 'Movies', 'Travel']",Long-term Relationship,No,Master's Degree,Engineer,28,Weekly
130,32,Male,5.04523848,['Travel'],Long-term Relationship,No,Ph.D.,Artist,100,Daily
131,29,Male,5.788865011,"['Travel', 'Cooking']",Friendship,Maybe,Bachelor's Degree,Artist,42,Weekly
132,25,Female,4.870367993,"['Cooking', 'Music', 'Travel', 'Hiking', 'Movies']",Casual Dating,Maybe,Ph.D.,Student,27,Daily
133,26,Male,4.974412161,['Travel'],Marriage,No,Ph.D.,Teacher,55,Monthly
134,34,Female,4.847555922,"['Movies', 'Travel', 'Reading', 'Cooking', 'Hiking', 'Sports']",Marriage,Maybe,Bachelor's Degree,Business Owner,33,Monthly
135,35,Male,5.070226647,"['Cooking', 'Reading', 'Travel', 'Hiking']",Friendship,Maybe,Master's Degree,Doctor,80,Monthly
136,33,Female,4.824931356,"['Hiking', 'Movies', 'Cooking', 'Reading', 'Music', 'Travel', 'Sports']",Long-term Relationship,Yes,High School,Engineer,69,Daily
137,25,Female,5.634603464,"['Sports', 'Travel']",Long-term Relationship,Maybe,Master's Degree,Doctor,98,Weekly
138,22,Female,5.602284036,['Cooking'],Long-term Relationship,Maybe,Master's Degree,Business Owner,78,Weekly
139,28,Female,5.419478224,['Hiking'],Casual Dating,No,Bachelor's Degree,Social Media Influencer,3,Weekly
140,20,Male,4.948687757,"['Music', 'Sports']",Casual Dating,Maybe,Bachelor's Degree,Entrepreneur,20,Monthly
141,32,Male,5.93990721,"['Sports', 'Travel', 'Music']",Long-term Relationship,Yes,Ph.D.,Student,55,Daily
142,27,Female,5.491959922,"['Movies', 'Reading', 'Travel', 'Hiking', 'Music', 'Cooking']",Marriage,Yes,Ph.D.,Artist,5,Daily
143,33,Male,5.969105878,"['Sports', 'Movies', 'Reading', 'Hiking', 'Travel', 'Music']",Casual Dating,Yes,Bachelor's Degree,Student,31,Weekly
144,32,Male,6.035192829,"['Travel', 'Reading', 'Movies', 'Sports', 'Music', 'Hiking']",Long-term Relationship,No,Bachelor's Degree,Business Owner,87,Daily
145,32,Female,5.695097122,"['Reading', 'Music', 'Hiking', 'Cooking']",Long-term Relationship,Yes,Master's Degree,Artist,49,Monthly
146,24,Male,5.900181697,"['Travel', 'Reading']",Long-term Relationship,Maybe,Master's Degree,Entrepreneur,97,Daily
147,34,Male,5.91315459,"['Reading', 'Travel', 'Movies', 'Hiking', 'Cooking', 'Music', 'Sports']",Friendship,No,Bachelor's Degree,Business Owner,66,Daily
148,21,Female,4.997129458,"['Cooking', 'Reading', 'Travel', 'Sports']",Friendship,No,Master's Degree,Social Media Influencer,47,Weekly
149,25,Female,4.936878074,"['Reading', 'Movies', 'Sports', 'Hiking', 'Travel']",Long-term Relationship,Yes,High School,Doctor,87,Daily
150,31,Female,5.517650142,"['Sports', 'Reading', 'Cooking', 'Travel', 'Movies', 'Hiking']",Long-term Relationship,Yes,Ph.D.,Artist,91,Weekly
151,19,Female,6.026655004,"['Movies', 'Cooking', 'Hiking', 'Reading', 'Travel', 'Sports', 'Music']",Friendship,Maybe,Master's Degree,Teacher,65,Weekly
152,18,Male,4.969361111,"['Travel', 'Cooking', 'Movies']",Casual Dating,Maybe,Master's Degree,Engineer,90,Weekly
153,25,Male,6.016852766,['Cooking'],Marriage,No,Bachelor's Degree,Artist,66,Monthly
154,34,Male,5.429590844,['Hiking'],Long-term Relationship,Maybe,Master's Degree,Social Media Influencer,92,Daily
155,33,Female,5.170362689,"['Travel', 'Hiking', 'Reading', 'Cooking']",Casual Dating,Maybe,High School,Artist,54,Weekly
156,33,Female,4.825390643,"['Travel', 'Movies']",Long-term Relationship,No,High School,Artist,62,Daily
157,25,Male,6.044497033,"['Music', 'Movies', 'Cooking', 'Travel']",Long-term Relationship,Yes,Bachelor's Degree,Student,1,Daily
158,21,Female,6.071489189,"['Travel', 'Reading', 'Music']",Long-term Relationship,Yes,High School,Business Owner,78,Monthly
159,21,Male,5.972512938,"['Reading', 'Cooking', 'Music', 'Travel', 'Hiking', 'Movies', 'Sports']",Friendship,Yes,High School,Entrepreneur,42,Daily
160,29,Female,6.062014427,"['Hiking', 'Reading', 'Sports', 'Music', 'Travel']",Casual Dating,Yes,Bachelor's Degree,Doctor,74,Daily
161,27,Male,5.734964561,"['Travel', 'Music', 'Cooking', 'Movies', 'Sports', 'Reading']",Casual Dating,Yes,Master's Degree,Business Owner,56,Monthly
162,32,Male,5.895955482,"['Movies', 'Cooking', 'Music', 'Reading', 'Hiking', 'Sports', 'Travel']",Marriage,Maybe,Master's Degree,Entrepreneur,85,Daily
163,20,Female,5.536534873,"['Hiking', 'Music', 'Travel', 'Cooking']",Friendship,Maybe,High School,Doctor,25,Monthly
164,27,Female,5.594635333,"['Music', 'Travel', 'Cooking', 'Movies', 'Sports']",Friendship,Yes,Bachelor's Degree,Artist,45,Daily
165,30,Male,5.934433089,['Music'],Marriage,Yes,High School,Entrepreneur,39,Monthly
166,23,Male,6.000886745,"['Cooking', 'Music', 'Sports', 'Movies', 'Travel']",Long-term Relationship,Maybe,Ph.D.,Doctor,47,Weekly
167,28,Female,6.03633732,"['Sports', 'Reading', 'Travel', 'Cooking', 'Hiking', 'Music']",Long-term Relationship,Yes,Master's Degree,Artist,74,Daily
